Category: All categories

Region,how to die: (2021)
West Virginia,100
Idaho,88
North Dakota,82
Michigan,80
Alaska,80
Indiana,78
Utah,78
Montana,78
Wyoming,78
Missouri,78
Kansas,77
South Dakota,76
New Hampshire,76
Arkansas,76
Tennessee,75
Oklahoma,75
Delaware,75
Ohio,74
Rhode Island,73
Virginia,73
Georgia,73
Washington,73
Vermont,73
Kentucky,73
Maine,73
Mississippi,73
Colorado,72
North Carolina,71
New Mexico,71
Pennsylvania,70
Texas,69
Iowa,69
Massachusetts,69
Florida,69
Illinois,68
Maryland,68
Nebraska,68
Louisiana,67
Hawaii,66
Nevada,66
Arizona,66
South Carolina,66
Minnesota,66
Alabama,65
California,65
New Jersey,65
Oregon,64
Connecticut,63
Wisconsin,60
New York,58
District of Columbia,56
