Category: All categories

Region,how to die: (2020)
West Virginia,100
North Dakota,97
Indiana,97
Idaho,96
South Dakota,95
Wyoming,93
Montana,93
New Hampshire,90
Kentucky,89
Missouri,88
Alaska,88
California,87
Colorado,87
Utah,87
Arizona,87
Michigan,86
Wisconsin,86
Maryland,86
North Carolina,86
Washington,85
Ohio,85
Nebraska,85
Arkansas,85
Maine,84
Oklahoma,83
Vermont,83
Tennessee,83
Hawaii,83
Minnesota,83
Illinois,82
Georgia,82
New Mexico,82
Pennsylvania,82
Kansas,82
Texas,82
Rhode Island,81
Virginia,81
Oregon,80
Delaware,79
Mississippi,79
Iowa,78
New Jersey,78
Massachusetts,78
Connecticut,78
South Carolina,77
Alabama,75
Florida,75
Nevada,75
Louisiana,68
New York,68
District of Columbia,46
