Category: All categories

Region,Jesus: (2014)
Mississippi,100
Arkansas,95
Alabama,92
Tennessee,87
Louisiana,85
South Carolina,81
Oklahoma,81
Kentucky,80
Georgia,80
Texas,77
Indiana,74
North Carolina,73
Utah,72
Kansas,72
West Virginia,71
Florida,68
Illinois,67
Missouri,67
Arizona,66
New Mexico,65
Ohio,63
Nebraska,63
Virginia,63
Idaho,63
Maryland,61
California,61
Michigan,60
Pennsylvania,60
District of Columbia,57
New Jersey,56
Minnesota,56
Washington,56
South Dakota,55
Colorado,55
Hawaii,55
Nevada,54
Iowa,54
New York,54
Wisconsin,52
Delaware,51
Wyoming,50
Montana,49
Alaska,48
North Dakota,47
Oregon,46
Massachusetts,46
Rhode Island,45
Connecticut,42
Vermont,38
Maine,37
New Hampshire,36
