Category: All categories

Region,Jesus: (2015)
Mississippi,100
Tennessee,94
Alabama,91
Arkansas,88
Louisiana,83
South Carolina,82
Oklahoma,81
Georgia,79
Kentucky,77
North Carolina,76
Texas,76
West Virginia,75
Utah,72
Missouri,72
Florida,69
Indiana,69
New Mexico,66
Arizona,64
Idaho,63
Michigan,63
Nebraska,62
Maryland,61
Ohio,60
Washington,59
District of Columbia,58
Kansas,58
Virginia,58
California,57
Oregon,57
Illinois,57
Hawaii,56
Pennsylvania,56
Nevada,56
Colorado,55
Iowa,54
New Jersey,54
New York,54
Minnesota,54
South Dakota,53
Wyoming,50
Delaware,50
Wisconsin,49
Alaska,48
Montana,48
North Dakota,47
Massachusetts,45
Rhode Island,44
Connecticut,43
Maine,39
Vermont,37
New Hampshire,35
