Category: All categories

Region,Jesus: (2008)
Arkansas,100
West Virginia,100
Alabama,99
Virginia,95
Mississippi,95
Tennessee,94
Kentucky,90
South Carolina,88
Indiana,88
Oklahoma,86
Texas,84
Louisiana,84
Georgia,83
Florida,83
North Carolina,82
Missouri,82
Utah,80
Ohio,80
Kansas,78
South Dakota,78
Idaho,77
California,76
Michigan,74
New Mexico,72
Nebraska,71
North Dakota,71
Pennsylvania,71
Illinois,71
Maryland,70
Iowa,70
Montana,70
Alaska,69
Wyoming,69
Colorado,69
Washington,68
Arizona,68
Hawaii,67
District of Columbia,66
Rhode Island,66
Wisconsin,65
Minnesota,64
Delaware,64
New Jersey,64
Oregon,64
New York,59
Nevada,59
Maine,58
Vermont,57
New Hampshire,55
Massachusetts,54
Connecticut,51
