Category: All categories

Region,Jesus: (2020)
Utah,100
Idaho,73
Alabama,69
Mississippi,69
Arkansas,66
Tennessee,66
Oklahoma,63
Louisiana,63
Georgia,59
Texas,58
Kentucky,58
South Carolina,57
North Carolina,57
Maryland,56
Missouri,56
Indiana,55
West Virginia,55
Florida,54
Kansas,54
New Mexico,53
Pennsylvania,53
Virginia,52
Arizona,52
Hawaii,52
Nebraska,47
Ohio,47
Delaware,47
California,46
Iowa,46
Oregon,46
Minnesota,45
Illinois,45
Michigan,45
Washington,44
Rhode Island,44
Wyoming,44
Alaska,43
Colorado,43
New Jersey,41
Nevada,41
New York,41
South Dakota,40
Connecticut,39
District of Columbia,39
Massachusetts,39
Wisconsin,39
Montana,39
North Dakota,36
Maine,32
New Hampshire,30
Vermont,26
