Category: All categories

Region,Jesus: (2013)
Mississippi,100
Arkansas,94
Alabama,93
Louisiana,88
Tennessee,88
Georgia,88
Oklahoma,87
South Carolina,86
Kentucky,84
Texas,80
Indiana,77
North Carolina,76
West Virginia,76
Missouri,73
Florida,73
Oregon,72
Kansas,67
Arizona,67
Utah,66
Virginia,65
New Mexico,65
Idaho,65
Michigan,64
Maryland,63
Ohio,63
Nebraska,62
Washington,59
California,59
Pennsylvania,58
New York,57
Minnesota,57
Colorado,56
District of Columbia,56
South Dakota,56
Iowa,56
Illinois,56
New Jersey,54
Hawaii,54
Nevada,53
Wisconsin,53
Delaware,53
Wyoming,52
Alaska,52
North Dakota,50
Montana,49
Connecticut,48
Massachusetts,46
Rhode Island,44
New Hampshire,39
Maine,38
Vermont,37
