Category: All categories

Region,Jesus: (2007)
Arkansas,100
Mississippi,99
Tennessee,98
West Virginia,93
Indiana,92
Utah,91
Oklahoma,91
Kentucky,91
Alabama,91
Wyoming,89
North Carolina,88
Idaho,88
Texas,87
Georgia,86
Missouri,85
Ohio,85
Louisiana,85
South Carolina,83
Nebraska,82
Florida,82
South Dakota,81
Virginia,79
Kansas,78
North Dakota,78
Michigan,78
Iowa,75
Montana,75
New Mexico,74
Illinois,74
Alaska,73
Arizona,72
Pennsylvania,72
California,70
Colorado,68
Washington,68
Delaware,68
Maryland,68
Oregon,66
Rhode Island,62
Minnesota,62
New Jersey,61
District of Columbia,61
New York,61
Vermont,60
Hawaii,59
Wisconsin,59
Nevada,59
Maine,58
New Hampshire,57
Massachusetts,55
Connecticut,52
