Category: All categories

Region,Jesus: (2016)
Mississippi,100
Alabama,95
Arkansas,86
Tennessee,86
Oklahoma,79
Louisiana,78
Georgia,76
South Carolina,76
Texas,74
North Carolina,71
West Virginia,71
Kentucky,71
Missouri,69
Utah,65
Indiana,64
Florida,63
Kansas,62
Idaho,61
Ohio,60
New Mexico,60
Arizona,60
Maryland,59
Virginia,57
District of Columbia,57
California,56
Hawaii,56
Michigan,55
Illinois,54
Colorado,53
Iowa,53
Nebraska,53
Pennsylvania,51
New Jersey,51
Washington,50
Oregon,50
Delaware,50
South Dakota,49
Minnesota,48
Nevada,48
New York,48
Wyoming,47
Alaska,47
Wisconsin,47
Rhode Island,45
Connecticut,44
Massachusetts,43
North Dakota,42
Maine,40
New Hampshire,40
Montana,40
Vermont,34
