Category: All categories

Region,Jesus: (2006)
Mississippi,100
Alabama,97
Kentucky,92
Arkansas,92
Oklahoma,91
Louisiana,90
Utah,88
West Virginia,87
South Carolina,87
Tennessee,86
Kansas,81
Indiana,81
Texas,81
North Carolina,80
Ohio,80
South Dakota,80
North Dakota,79
Idaho,79
Iowa,79
Georgia,77
Montana,75
Michigan,74
Florida,73
Nebraska,72
Missouri,72
Wyoming,71
Pennsylvania,71
New Mexico,70
Virginia,68
Delaware,66
California,65
Washington,65
Oregon,61
Maine,61
Arizona,61
Illinois,61
Alaska,60
Minnesota,58
Colorado,58
Wisconsin,58
New Hampshire,57
Nevada,57
Vermont,57
New Jersey,57
Rhode Island,56
New York,55
Hawaii,54
Connecticut,54
Maryland,54
District of Columbia,54
Massachusetts,51
