Category: All categories

Region,Jesus: (2009)
Virginia,100
Alabama,97
Mississippi,96
Tennessee,94
Louisiana,93
South Carolina,89
Arkansas,87
Georgia,86
Texas,85
California,84
Missouri,83
North Carolina,83
Indiana,83
Oklahoma,83
Kentucky,81
West Virginia,80
Florida,77
South Dakota,77
Ohio,76
Idaho,74
Pennsylvania,72
Utah,71
Kansas,71
New Mexico,71
Arizona,70
North Dakota,68
Michigan,68
Montana,67
Maryland,67
Nebraska,66
District of Columbia,65
Hawaii,63
Iowa,63
Oregon,63
Colorado,62
Delaware,62
New Jersey,61
Minnesota,61
Washington,61
Wyoming,61
Illinois,61
Alaska,60
Wisconsin,59
New York,58
Rhode Island,56
Vermont,56
Connecticut,54
Maine,54
Nevada,54
Massachusetts,53
New Hampshire,50
