Category: All categories

Region,Jesus: (2012)
Alabama,100
Mississippi,98
Arkansas,91
Louisiana,89
Tennessee,88
Kentucky,84
South Carolina,84
Oklahoma,82
West Virginia,81
Indiana,77
New Mexico,76
Florida,75
Texas,74
Georgia,72
North Carolina,71
Kansas,69
Missouri,68
Virginia,67
Idaho,66
Utah,65
South Dakota,62
Michigan,62
Ohio,61
Maryland,61
Pennsylvania,60
Arizona,60
California,58
Nebraska,58
Iowa,57
Oregon,56
Colorado,56
Washington,56
Illinois,55
Montana,53
New York,53
Minnesota,53
New Jersey,53
North Dakota,52
Hawaii,52
District of Columbia,52
Wyoming,51
Wisconsin,50
Connecticut,50
Alaska,50
Delaware,49
Nevada,47
Massachusetts,43
Rhode Island,43
Maine,38
New Hampshire,37
Vermont,37
