Category: All categories

Region,child abuse: (2014)
Pennsylvania,100
Iowa,93
South Dakota,93
West Virginia,93
New Mexico,89
Delaware,86
Arkansas,85
Vermont,84
Idaho,79
Nebraska,79
North Dakota,77
Oklahoma,75
Montana,73
Kentucky,70
Missouri,70
Kansas,69
Wyoming,67
Mississippi,67
Wisconsin,67
Indiana,66
Maine,65
South Carolina,65
Maryland,63
Tennessee,63
Alabama,62
Minnesota,62
Utah,59
Colorado,59
Alaska,58
Florida,58
North Carolina,58
Hawaii,57
Rhode Island,56
Texas,56
New Hampshire,56
District of Columbia,56
Arizona,54
Louisiana,54
Illinois,53
California,53
Michigan,53
Ohio,51
New York,49
Nevada,49
Georgia,49
Washington,48
Connecticut,47
New Jersey,43
Virginia,43
Oregon,42
Massachusetts,39
