Category: All categories

Region,child abuse: (2012)
Wyoming,100
West Virginia,95
Arkansas,92
Iowa,90
Pennsylvania,87
Delaware,85
New Mexico,85
South Dakota,84
Oklahoma,80
Mississippi,80
Kentucky,80
Nebraska,75
Indiana,71
Kansas,71
Missouri,67
Idaho,67
Vermont,67
Wisconsin,64
North Dakota,63
Maine,62
Tennessee,62
Oregon,62
Alabama,60
South Carolina,59
Utah,56
Montana,55
Hawaii,55
New Hampshire,54
Rhode Island,54
Colorado,53
Maryland,53
Alaska,52
Arizona,52
Michigan,52
Texas,51
North Carolina,51
Virginia,51
Nevada,50
Florida,49
Ohio,49
California,47
District of Columbia,46
Minnesota,46
New Jersey,45
Louisiana,45
Illinois,45
Georgia,43
New York,42
Washington,42
Connecticut,40
Massachusetts,36
