Category: All categories

Region,child abuse: (2005)
South Dakota,100
Iowa,95
North Dakota,89
Mississippi,88
Arkansas,85
Kentucky,84
Kansas,73
Indiana,72
Nebraska,70
West Virginia,69
Hawaii,66
Missouri,65
Oklahoma,64
Michigan,63
Maine,63
New Mexico,61
Pennsylvania,61
Alaska,61
Idaho,60
South Carolina,60
Utah,57
New Hampshire,56
Ohio,55
North Carolina,54
Oregon,54
Maryland,54
Louisiana,53
Minnesota,52
Montana,52
Wisconsin,51
Colorado,51
Alabama,50
Vermont,50
Tennessee,50
Virginia,50
Washington,49
Georgia,47
Arizona,47
Wyoming,47
Illinois,45
Texas,45
New York,44
Florida,44
New Jersey,42
Nevada,41
California,39
Delaware,38
District of Columbia,36
Connecticut,35
Massachusetts,33
Rhode Island,32
