Category: All categories

Region,child abuse: (2019)
Pennsylvania,100
Iowa,69
Delaware,62
Vermont,60
West Virginia,59
Arkansas,58
Nebraska,56
New Mexico,53
Oklahoma,53
North Dakota,52
Oregon,51
Kentucky,51
Missouri,50
Montana,48
South Dakota,48
Utah,48
Maine,47
Mississippi,46
Kansas,44
Alaska,43
California,43
District of Columbia,43
Tennessee,42
Alabama,42
Idaho,42
Wyoming,39
Maryland,39
Colorado,39
Indiana,38
Wisconsin,38
Texas,37
Louisiana,36
Virginia,35
North Carolina,35
South Carolina,35
Arizona,35
Florida,34
New Hampshire,34
Nevada,33
Rhode Island,33
New York,33
Minnesota,33
Michigan,33
Hawaii,31
Washington,31
Illinois,30
Georgia,30
Ohio,30
Connecticut,29
New Jersey,28
Massachusetts,25
