Category: All categories

Region,child abuse: (2007)
Iowa,100
West Virginia,90
Arkansas,83
Wyoming,82
Oklahoma,81
South Dakota,81
Indiana,79
North Dakota,77
Nebraska,75
Pennsylvania,73
Kentucky,70
Mississippi,70
Delaware,66
New Mexico,66
Maine,65
Tennessee,65
Kansas,64
Hawaii,64
Missouri,64
South Carolina,63
Wisconsin,63
Michigan,63
Oregon,61
North Carolina,60
Idaho,59
Vermont,56
Louisiana,56
Minnesota,56
Utah,55
Alabama,54
Ohio,53
Maryland,52
Montana,52
Alaska,51
Colorado,51
Arizona,50
Virginia,48
Nevada,48
New York,48
Georgia,48
Illinois,47
Florida,46
Texas,46
New Hampshire,46
Washington,45
Rhode Island,43
Connecticut,41
California,41
District of Columbia,39
New Jersey,38
Massachusetts,31
