Category: All categories

Region,child abuse: (2004)
Wyoming,100
South Dakota,95
Iowa,93
Nebraska,82
Arkansas,74
Alaska,73
Mississippi,69
New Mexico,69
Kentucky,66
Kansas,65
Indiana,63
North Dakota,62
Montana,61
Maine,60
South Carolina,60
Wisconsin,59
Missouri,58
Minnesota,57
North Carolina,54
Utah,53
Michigan,52
West Virginia,51
Pennsylvania,51
Ohio,50
New Hampshire,50
Hawaii,49
Louisiana,48
Washington,46
Georgia,46
Arizona,46
Oregon,45
Texas,43
Alabama,43
Colorado,43
Illinois,43
New York,43
Rhode Island,42
Oklahoma,41
Connecticut,41
Vermont,41
Maryland,40
Tennessee,40
Virginia,39
Idaho,39
Florida,37
New Jersey,34
District of Columbia,34
California,34
Massachusetts,32
Delaware,29
Nevada,28
