Category: All categories

Region,child abuse: (2015)
Pennsylvania,100
Iowa,54
Delaware,53
Arkansas,53
Wyoming,53
West Virginia,49
New Mexico,48
South Dakota,47
Vermont,46
Nebraska,44
Mississippi,43
Kentucky,43
North Dakota,42
Montana,41
Oklahoma,39
Missouri,39
Maine,39
Indiana,37
Idaho,37
Tennessee,37
Alabama,37
Colorado,36
Wisconsin,36
Utah,35
Alaska,35
Maryland,35
Kansas,34
New Hampshire,34
South Carolina,34
Arizona,32
Michigan,31
North Carolina,30
Texas,30
Hawaii,30
Minnesota,30
California,30
New Jersey,29
Louisiana,29
Oregon,29
New York,29
District of Columbia,29
Nevada,28
Florida,28
Ohio,28
Georgia,26
Washington,26
Connecticut,25
Rhode Island,25
Illinois,25
Massachusetts,24
Virginia,20
