Category: All categories

Region,Borderline personality disorder: (2020)
Vermont,100
Maine,93
New Hampshire,92
Utah,90
North Dakota,81
Idaho,81
Oregon,81
Montana,79
Wyoming,79
Rhode Island,77
West Virginia,76
Connecticut,75
Minnesota,74
Kansas,68
Colorado,67
South Dakota,67
Washington,66
Nebraska,66
Massachusetts,65
Indiana,65
Arkansas,65
Oklahoma,64
Arizona,64
New York,63
Iowa,63
Missouri,63
Michigan,62
Pennsylvania,62
Wisconsin,61
Kentucky,61
South Carolina,59
New Mexico,58
Delaware,58
Illinois,58
Alaska,57
District of Columbia,57
Virginia,56
Nevada,56
Ohio,55
California,55
Maryland,54
Tennessee,54
Mississippi,52
North Carolina,51
Louisiana,51
Alabama,50
Florida,50
Texas,50
New Jersey,49
Hawaii,48
Georgia,44
