Category: All categories

Region,Borderline personality disorder: (2018)
Vermont,100
Maine,98
New Hampshire,90
Montana,86
Utah,84
Oregon,81
Connecticut,80
North Dakota,79
Rhode Island,78
South Dakota,77
Minnesota,77
Colorado,75
Washington,75
Massachusetts,73
Indiana,73
New York,72
Missouri,71
West Virginia,71
Iowa,71
Idaho,70
Wisconsin,70
Michigan,69
Alaska,67
Arizona,65
Kansas,65
Wyoming,64
Maryland,64
Nebraska,64
Kentucky,64
Pennsylvania,63
District of Columbia,63
Arkansas,63
Delaware,62
Oklahoma,62
Virginia,62
South Carolina,61
New Mexico,61
Ohio,59
Texas,59
California,58
Nevada,58
Tennessee,57
New Jersey,56
Illinois,56
North Carolina,55
Mississippi,55
Florida,54
Alabama,54
Louisiana,52
Georgia,46
Hawaii,46
