Category: All categories

Region,Borderline personality disorder: (2016)
Maine,100
New Hampshire,91
Vermont,87
Utah,84
Rhode Island,81
Minnesota,76
Alaska,74
South Dakota,74
Arkansas,71
Oregon,71
Connecticut,71
North Dakota,69
Washington,68
Massachusetts,67
Idaho,67
Oklahoma,66
Colorado,66
Indiana,66
Kansas,65
Iowa,65
Montana,64
Arizona,63
Kentucky,63
West Virginia,62
Missouri,62
Pennsylvania,60
Wyoming,60
New York,59
Ohio,59
Virginia,59
Michigan,58
New Mexico,56
New Jersey,56
Mississippi,56
Wisconsin,55
Maryland,55
North Carolina,54
Tennessee,53
South Carolina,53
Alabama,51
District of Columbia,51
Delaware,51
Illinois,50
California,48
Georgia,46
Louisiana,46
Nevada,46
Nebraska,43
Florida,41
Hawaii,39
Texas,39
