Category: All categories

Region,Borderline personality disorder: (2017)
New Hampshire,100
Vermont,92
Maine,91
Idaho,88
Utah,83
Minnesota,82
Rhode Island,81
Alaska,80
Montana,77
West Virginia,77
Connecticut,76
Colorado,75
Iowa,75
Massachusetts,75
Oregon,74
Missouri,68
New York,67
New Mexico,67
Washington,67
North Dakota,66
Wyoming,64
Indiana,64
Pennsylvania,64
Arizona,63
Michigan,63
Kentucky,63
Arkansas,63
Kansas,61
Ohio,60
Maryland,60
Tennessee,60
Oklahoma,59
Nebraska,59
South Dakota,59
Virginia,59
Mississippi,59
Delaware,59
District of Columbia,57
Wisconsin,57
North Carolina,56
New Jersey,56
Nevada,55
South Carolina,55
Louisiana,54
Alabama,54
California,53
Illinois,52
Georgia,47
Texas,44
Florida,43
Hawaii,41
