Category: All categories

Region,Borderline personality disorder: (2019)
Maine,100
New Hampshire,96
South Dakota,89
Rhode Island,87
Utah,86
Oregon,86
Montana,85
Idaho,81
Minnesota,81
Vermont,78
West Virginia,77
Kansas,75
Indiana,74
Connecticut,73
North Dakota,73
Missouri,72
Washington,72
Massachusetts,72
Delaware,71
Wisconsin,70
Iowa,69
Colorado,69
New York,67
Alaska,67
Michigan,66
Arkansas,65
Kentucky,65
Nebraska,64
Oklahoma,64
Maryland,64
Arizona,62
Pennsylvania,62
Wyoming,61
Ohio,61
New Mexico,61
Tennessee,60
Alabama,59
California,57
Virginia,57
Illinois,56
District of Columbia,56
New Jersey,55
North Carolina,55
South Carolina,54
Nevada,54
Louisiana,54
Mississippi,53
Florida,51
Texas,48
Georgia,47
Hawaii,47
