Category: All categories

Region,Paranoid: (2013)
California,100
Delaware,90
Mississippi,89
Maine,88
Alaska,87
Rhode Island,82
Arizona,82
Arkansas,78
Kansas,78
West Virginia,77
North Carolina,77
Kentucky,76
New Hampshire,76
Alabama,76
New Jersey,75
Washington,73
New York,73
Pennsylvania,73
New Mexico,73
Nevada,72
South Carolina,71
Ohio,71
Indiana,71
Virginia,71
Oklahoma,70
Connecticut,70
Massachusetts,70
Georgia,69
Utah,69
Missouri,69
Michigan,69
Tennessee,67
Louisiana,67
Vermont,67
Maryland,65
Nebraska,65
South Dakota,64
Montana,63
Texas,62
Florida,62
Colorado,61
Iowa,61
Oregon,61
Wisconsin,60
Minnesota,60
Idaho,60
North Dakota,59
Hawaii,59
Illinois,59
District of Columbia,55
Wyoming,18
