Category: All categories

Region,Paranoid: (2012)
Maine,100
Oregon,83
New Hampshire,80
Indiana,78
Connecticut,78
Montana,77
Pennsylvania,76
Rhode Island,76
Louisiana,76
New Mexico,75
New Jersey,75
Oklahoma,75
Kentucky,74
Ohio,73
Delaware,73
Wyoming,73
Arkansas,73
South Dakota,72
North Dakota,72
Nebraska,72
Michigan,72
Maryland,71
Kansas,71
Massachusetts,71
California,70
Mississippi,69
Tennessee,68
South Carolina,68
Hawaii,68
West Virginia,68
Arizona,67
Alabama,67
Nevada,67
Wisconsin,66
Virginia,66
Missouri,66
North Carolina,66
Vermont,65
New York,64
Illinois,64
Alaska,63
Washington,62
Iowa,61
Minnesota,59
Utah,59
Florida,59
Idaho,58
Georgia,57
Texas,55
District of Columbia,54
Colorado,53
