Category: All categories

Region,Paranoid personality disorder: (2009)
Montana,
Oregon,100
Wisconsin,93
Mississippi,87
Maine,
New Hampshire,
Vermont,
Connecticut,67
Tennessee,64
South Carolina,64
Oklahoma,64
North Carolina,61
Missouri,58
Florida,58
New Jersey,58
Kansas,
Hawaii,
Rhode Island,
District of Columbia,
Pennsylvania,48
Illinois,48
Washington,45
Maryland,45
New York,45
Texas,45
Michigan,41
Minnesota,41
Indiana,38
Georgia,38
Louisiana,35
Nebraska,
Alabama,32
Colorado,29
Massachusetts,29
Kentucky,25
Arizona,25
California,22
Virginia,22
Alaska,
Arkansas,
Delaware,
Iowa,
Idaho,
North Dakota,
New Mexico,
Nevada,
Ohio,
South Dakota,
Utah,
West Virginia,
Wyoming,
