Category: All categories

Region,Paranoid personality disorder: (2020)
West Virginia,100
Kentucky,74
Idaho,70
Iowa,62
Nebraska,
New Hampshire,
Connecticut,59
Montana,
Rhode Island,
Mississippi,51
Wisconsin,48
Missouri,48
Alaska,
South Dakota,
New Mexico,
Massachusetts,48
Oregon,48
Kansas,
Maryland,44
Pennsylvania,44
New Jersey,44
Tennessee,44
Arkansas,44
Minnesota,44
Virginia,44
Georgia,44
Ohio,44
North Carolina,40
Illinois,40
Alabama,40
Colorado,40
New York,40
Washington,40
Michigan,40
Arizona,40
Vermont,
Texas,37
District of Columbia,
Louisiana,37
Florida,37
Indiana,37
California,37
Utah,37
South Carolina,37
Oklahoma,33
Maine,
Nevada,33
Hawaii,
Delaware,
North Dakota,
Wyoming,
