Category: All categories

Region,Paranoid personality disorder: (2013)
Montana,
Idaho,100
Alaska,
Delaware,
Mississippi,96
Arkansas,92
Connecticut,88
Indiana,84
Rhode Island,
West Virginia,76
Wisconsin,72
Pennsylvania,72
Kentucky,72
Iowa,68
South Carolina,68
South Dakota,
Kansas,
Maryland,64
Ohio,64
Oklahoma,60
Virginia,60
Maine,
Vermont,
Alabama,56
North Carolina,56
Louisiana,56
New Jersey,56
New Hampshire,
Georgia,56
Massachusetts,56
Missouri,52
Tennessee,52
Michigan,52
North Dakota,
Utah,52
New Mexico,
Minnesota,48
California,48
New York,48
Washington,48
Illinois,48
Florida,48
Nevada,44
Arizona,44
Nebraska,
District of Columbia,
Texas,40
Colorado,36
Oregon,32
Hawaii,
Wyoming,
